"FilingID","Full Legal Name","CIK Number"
"769333","THE GOVERNOR AND COMPANY OF THE BANK OF IRELAND","1191638"
"769655","HSBC HOLDINGS PLC","1089113"
"768948","N/A","161437"
"770044","MORGAN STANLEY","895421"
"770016","UMB BANK N.A.","854729"
"759600","SWISS RE LIMITED","1519921"
"773014","PRINCIPAL FINANCIAL GROUP INC","1126328"
"773270","PRINCIPAL FINANCIAL GROUP INC","1126328"
"773499","BLACKROCK, INC.","1364742"
"773517","BLACKROCK, INC.","1364742"
"777588","BLACKROCK, INC.","1364742"
"780509","MORGAN STANLEY","895421"
"782306","LEUCADIA NATIONAL CORPORATION","96223"
"784328","HSBC HOLDINGS PLC","1089113"
"784375","LEUCADIA NATIONAL CORPORATION","96223"
"782557","BLACKROCK, INC.","1364742"
"782563","BLACKROCK, INC.","1364742"
"782576","BLACKROCK, INC.","1364742"
"785272","LEUCADIA NATIONAL CORPORATION","96223"
"786149","D.A. DAVIDSON & CO.","27182"
"783873","RENAISSANCERE HOLDINGS LTD.","913144"
"793988","KKR & CO. L.P.","1404912"
"791256","BLACKROCK, INC.","1364742"
"791257","BLACKROCK, INC.","1364742"
"795556","BROOKFIELD ASSET  MANAGEMENT (A)","1001085"
"797085","HSBC HOLDINGS PLC","1089113"
"798130","GABELLI SECURITIES, INC.","932724"
"788714","N/A","161437"
"793947","NOMURA HOLDINGS INC","1163653"
"796234","BANCO BILBAO VIZCAYA ARGENTARIA SA","842180"
"797947","BANCO BILBAO VIZCAYA ARGENTARIA SA","842180"
"798793","BANCO BILBAO VIZCAYA ARGENTARIA SA","842180"
"798816","BANCO BILBAO VIZCAYA ARGENTARIA SA","842180"
"798818","BANCO BILBAO VIZCAYA ARGENTARIA SA","842180"
"799587","BANCO BILBAO VIZCAYA ARGENTARIA SA","842180"
"799591","BANCO BILBAO VIZCAYA ARGENTARIA SA","842180"
"798811","BANCO BILBAO VIZCAYA ARGENTARIA SA","842180"
"798800","BANCO BILBAO VIZCAYA ARGENTARIA SA","842180"
"798806","CITIC PACIFIC LIMITED","267"
"798806","CHINA CITIC BANK CORPORATION LIMITED","998"
"785420","MUNICIPAL MORTGAGE & EQUITY, LLC","1003201"
"806531","ALLEGHANY CORPORATION","775368"
"806531","MARSH & MCLENNAN COMPANIES, INC.","62709"
"806318","BANK OF AMERICA CORPORATION","70858"
"786275","CREDIT SUISSE GROUP AG","1159510"
"794628","BLACKROCK, INC.","1364742"
"795284","BLACKROCK, INC.","1364742"
"795294","BLACKROCK, INC.","1364742"
"770760","GLEACHER & COMPANY, INC.","782842"
"805507","DEUTSCHE BANK AG","948046"
"800232","DEUTSCHE BANK AG","948046"
"793404","HSBC HOLDINGS PLC","1089113"
"806935","UNITED OVERSEAS BANK LIMITED","867530"
"798804","INVESCO LTD.","914208"
"807731","CREDIT SUISSE GROUP AG","1159510"
"789962","STIFEL FINANCIAL CORP","720672"
"807690","EDELMAN FINANCIAL GROUP INC.","1071341"
"807842","PRINCIPAL FINANCIAL GROUP INC","1126328"
"785804","HSBC BANK PLC","1140465"
"810027","THE ROYAL BANK OF SCOTLAND GROUP","844150"
"807633","JPMORGAN CHASE & CO.","19617"
"805530","UMB BANK N.A.","854729"
"810623","THE CARLYLE GROUP, L.P.","1527166"
"796939","CBRE GROUP, INC.","1138118"
"803821","CBRE GROUP, INC","1138118"
"803787","CBRE GROUP, INC.","1138118"
"803813","CBRE GROUP, INC.","1138118"
"811184","ALLEGHANY CORPORATION","775368"
"811184","MARSH & MCLENNAN COMPANIES, INC.","62709"
"806897","AFFILIATED MANAGERS GROUP, INC.","1004434"
"794939","BROOKFIELD ASSET MANAGEMENT INC.","1001085"
"799678","NATIONAL WESTMINSTER BANK PLC","702162"
"799678","THE ROYAL BANK OF SCOTLAND GROUP","844150"
"803916","JONES LANG LASALLE INCORPORATED","1037956"
"794876","UBS AG","1114446"
"812233","CREDIT SUISSE GROUP AG","1159510"
"812233","GENERAL ELECTRIC COMPANY","40545"
"800168","MVC CAPITAL, INC.","1099941"
"797696","FEDERATED INVESTORS, INC.","1056288"
"802416","BARCLAYS PLC","312069"
"807079","BROOKFIELD ASSET MANAGEMENT INC.","10010085"
"808953","SAFEGUARD SCIENTIFCS, INC.","86115"
"803847","JPMORGAN CHASE & CO.","19517"
"805676","JPMORGAN CHASE & CO.","19617"
"813252","MORGAN STANLEY","895421"
"810090","EVERCORE PARTNERS INC.","1360901"
"803170","BARCLAYS PLC","312069"
"816484","INVESCO LTD.","914208"
"819255","HSBC HOLDINGS PLC","1089113"
"814299","STIFEL FINANCIAL CORP.","720672"
"821172","RENAISSANCERE HOLDINGS LTD.","913144"
"818682","KENNEDY-WILSON HOLDINGS, INC.","1408100"
"822189","PRUDENTIAL PLC","1116578"
"807877","N/A","12345678"
"819220","BLACKROCK, INC.","1364742"
"819224","BLACKROCK, INC.","1364742"
"826278","BROOKFIELD ASSET MANAGEMENT INC.","10010085"
"827776","MORGAN STANLEY","895421"
"827859","NATIONAL WESTMINSTER BANK PLC","702162"
"827859","THE ROYAL BANK OF SCOTLAND GROUP","844150"
"827911","BLACKROCK, INC.","1364742"
