"FilingID","ReferenceID","Private Fund Name","Fund ID"
1039267,32502,"RESIDENTIAL REAL ESTATE TOTAL RETURN OPPORTUNITIES FUND L.P.",805-4482009401
1039267,32502,"RESIDENTIAL REAL ESTATE TOTAL RETURN OPPORTUNITIES FUND LTD",805-8511494640
1039267,55577,"WYETREE YIELD DISTRIBUTION FUND",805-6857984640
1039267,55577,"WYETREE YIELD DISTRIBUTION FUND LP",805-5776475947
1039267,65425,"WYETREE EUROPEAN RECOVERY FUND LP",805-6106870689
1039267,65425,"WYETREE EUROPEAN RECOVERY FUND",805-6519804363
1039263,65827,"LIQUIDALTS H2O FORCE 10 FEEDER FUND",805-5828069236
1039263,65805,"LIQUIDALTS TUDOR TENSOR FEEDER FUND",805-2311533065
1040674,179454,"OTS ASIA OPPORTUNITY FUND LIMITED",805-2349044310
1040919,64504,"WINTON DIVERSIFIED STRATEGY FUND (US) L.P.",805-8202755881
1040919,64490,"THE WINTON EVOLUTION FUND",805-6708134764
1040919,64503,"WINTON DIVERSIFIED FUTURES FUND (US) L.P.",805-2838865664
1041136,173826,"FUGU CREDIT PLC",805-6072662077
1040182,166837,"WESTRAY LONG/SHORT FEEDER FUND",805-9230183154
1040182,166837,"WESTRAY LONG/SHORT US FEEDER FUND L.P.",805-2715266759
1041613,57976,"ARCAPITA VENTURES I HOLDING COMPANY LIMITED",805-2231578671
1042302,58109,"ARCAPITA VENTURES I HOLDING COMPANY LIMITED",805-2231578671
1041361,24570,"CRESCENT CAPITAL PARTNERS III (DELAWARE) LP",805-6342645562
1033274,55601,"MYDA CAPITAL LTD.",805-8667233194
1033274,59714,"MYDA ADVANTAGE LTD.",805-9854544558
1039884,157796,"BARCA GLOBAL FUND, LP",805-8753765201
1042068,167044,"ROKOS GLOBAL MACRO FUND LP",805-5117878927
1042068,167044,"ROKOS GLOBAL MACRO FUND LIMITED",805-6246858655
1040528,29696,"ROSEMONT CO-INVESTMENT FUND OFFSHORE FEEDER LP",805-6962128347
1041636,55167,"SILVARIS ONSHORE FUND LP",805-6476653302
1041636,55167,"SILVARIS OFFSHORE FUND LIMITED",805-2631971628
1040524,179578,"SAOLA CAPITAL OFFSHORE FEEDER LTD.",805-9951715147
1040524,179578,"SAOLA CAPITAL ONSHORE FEEDER LP",805-2681981938
1042758,40113,"TRAFALGAR COPLEY FUND LIMITED",805-1646380845
1042758,40113,"TRAFALGAR COPLEY NZ FUND LIMITED",805-6561630914
1042758,40113,"TRAFALGAR COPLEY FUND LP",805-1681718179
1033137,66278,"SIMMONS PRIVATE EQUITY II FOUNDER L.P",805-2807235962
1033137,40133,"SPE LP",805-3069944291
1039680,18092,"JM FINANCIAL - OLD LANE INDIA CORPORATE OPPORTUNTIES II LIMITED",805-1542831184
1038244,179370,"SOSV ONSHORE III, L.P.",805-4277215031
1042685,65952,"ASOF III FEEDER FUND LP",805-6050949147
1042685,32267,"ASOF II FEEDER FUND LP",805-6362269444
