"FilingID","Country/Authority"
"994250","China, People's Republic of - China Securities Regulatory Commission "
"994250","India - Securities and Exchange Board of India"
"994250","South Korea - Financial Supervisory Commission / Financial Supervisory Service"
"994250","Canada - Quebec, Financial Markets Authority"
"994250","Canada - Ontario Securities Commission"
"994250","Canada - British Columbia Securities Commission"
"994250","Canada - Alberta Securities Commission"
"980053","Hong Kong - Securities and Futures Commission"
"968272","Singapore - Monetary Authority of Singapore"
"999621","Other: KENYA - CAPITAL MARKET AUTHORITY"
"999621","Other: KENYA - RETIREMENT BENEFIT AUTHORITY"
"999621","Other: UGANDA - CAPITAL MARKETS AUTHORITY"
"999621","Other: UGANDA RETIREMENT BENEFIT REGULATORY AUTHORITY"
"972176","Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
"995821","Hong Kong - Securities and Futures Commission"
"987953","Hong Kong - Securities and Futures Commission"
"997684","United Kingdom - Financial Conduct Authority"
"981067","Jersey - Jersey Financial Services Commission"
"998843","Netherlands - The Netherlands Authority for the Financial Markets"
"979600","United Kingdom - Financial Conduct Authority"
"987229","United Kingdom - Financial Conduct Authority"
"987229","Ireland -  Central Bank of Ireland"
"987243","United Kingdom - Financial Conduct Authority"
"987243","Ireland -  Central Bank of Ireland"
"994460","Other: BELGIUM - NATIONAL BANK OF BELGIUM"
"994460","Other: BELGIUM - FINANCIAL SERVICES AND MARKETS AUTHORITY"
"994460","Other: EUROPE - EUROPEAN CENTRAL BANK"
"991190","Netherlands - The Netherlands Authority for the Financial Markets"
"994254","Other: CAYMAN ISLANDS - CAYMAN ISLANDS MONETARY AUTHORITY"
"994465","United Kingdom - Financial Conduct Authority"
"987291","United Kingdom - Financial Conduct Authority"
"989603","United Kingdom - Financial Conduct Authority"
"978877","Canada - Alberta Securities Commission"
"978877","Canada - Ontario Securities Commission"
"999757","Netherlands - The Netherlands Authority for the Financial Markets"
"998750","United Kingdom - Financial Conduct Authority"
"994372","Other: CAYMAN ISLANDS MONETARY AUTHORITY"
"979639","United Kingdom - Financial Conduct Authority"
"991104","Germany - German Federal Financial Supervisory Agency"
"995506","United Kingdom - Financial Conduct Authority"
"995506","Ireland -  Central Bank of Ireland"
"995969","Guernsey - Guernsey Financial Services Commission"
"987232","United Kingdom - Financial Conduct Authority"
"995285","United Kingdom - Financial Conduct Authority"
"977355","United Kingdom - Financial Conduct Authority"
"977355","South Africa - Financial Services Board"
"991898","Guernsey - Guernsey Financial Services Commission"
"998013","Other: FINANCIAL SERVICES COMMISSION - BARBADOS"
"990888","Bermuda - Bermuda Monetary Authority"
"995399","United Kingdom - Financial Conduct Authority"
"1000014","United Kingdom - Financial Conduct Authority"
"983405","United Kingdom - Financial Conduct Authority"
"995617","Guernsey - Guernsey Financial Services Commission"
"993825","Guernsey - Guernsey Financial Services Commission"
"999630","United Kingdom - Financial Conduct Authority"
"999630","Ireland -  Central Bank of Ireland"
"999647","United Kingdom - Financial Conduct Authority"
"999647","Ireland -  Central Bank of Ireland"
"977340","United Kingdom - Financial Conduct Authority"
"991151","United Kingdom - Financial Conduct Authority"
"998588","United Kingdom - Financial Conduct Authority"
"998920","Other: JERSEY FINANICAL SERVICES COMMISSION"
"980966","Mauritius, Republic of - Financial Services Commission"
"992468","Other: QATAR FINANCIAL CENTRE REGULATORY AUTHORITY (QFCRA)"
"994144","United Kingdom - Financial Conduct Authority"
"995838","Mauritius, Republic of - Financial Services Commission"
"995841","British Virgin Islands - British Virgin Islands Financial Services Commission"
"989420","Singapore - Monetary Authority of Singapore"
"1001349","United Kingdom - Financial Conduct Authority"
"977008","France - Financial Markets Authority"
"1000774","Mauritius, Republic of - Financial Services Commission"
"994262","Hong Kong - Securities and Futures Commission"
"990252","Hong Kong - Securities and Futures Commission"
"990252","Mauritius, Republic of - Financial Services Commission"
"966892","Singapore - Monetary Authority of Singapore"
"1001644","Singapore - Monetary Authority of Singapore"
"987924","Other: CAYMAN ISLANDS MONETARY AUTHORITY"
"998638","Ireland -  Central Bank of Ireland"
"1000786","France - Financial Markets Authority"
"989427","Other: CAYMAN ISLANDS MONETARY AUTHORITY"
"999592","Singapore - Monetary Authority of Singapore"
"987824","Hong Kong - Securities and Futures Commission"
"980173","Ireland -  Central Bank of Ireland"
"968629","Other: AUTHORITE DE CONTROLE PRUDENTIEL ET DE RESOLUTION (FRANCE)"
"994863","United Kingdom - Financial Conduct Authority"
"994863","Netherlands - The Netherlands Authority for the Financial Markets"
"994863","Denmark - Danish Financial Supervisory Authority"
"994863","Sweden - Swedish Financial Supervisory Authority"
"994863","Finland - Financial Supervision Authority"
"1002891","United Kingdom - Financial Conduct Authority"
"995481","Guernsey - Guernsey Financial Services Commission"
"989450","Jersey - Jersey Financial Services Commission"
"991709","Jersey - Jersey Financial Services Commission"
"997055","Jersey - Jersey Financial Services Commission"
"993013","France - Financial Markets Authority"
"993013","Guernsey - Guernsey Financial Services Commission"
"993013","Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
"993013","United Kingdom - Financial Conduct Authority"
"972747","United Kingdom - Financial Conduct Authority"
"1004286","United Kingdom - Financial Conduct Authority"
"1004201","Brazil - Securities and Exchange Commission"
"1003432","Guernsey - Guernsey Financial Services Commission"
"996002","Canada - Alberta Securities Commission"
"996002","Canada - Ontario Securities Commission"
"996002","Canada - British Columbia Securities Commission"
"996002","Canada - Quebec, Financial Markets Authority"
"1000599","Canada - Northwest Territories, Office of the Registrar of Securities"
"1000599","Canada - Nova Scotia Securities Commission"
"1000599","Canada - Ontario Securities Commission"
"1000599","Canada - Quebec, Financial Markets Authority"
"1000599","Canada - Saskatchewan Financial Services Commission"
"1000599","Canada - Newfoundland and Labrador, Financial Services Regulation Division"
"1000599","India - Securities and Exchange Board of India"
"1000599","Canada - Alberta Securities Commission"
"1000599","Canada - British Columbia Securities Commission"
"1000599","Canada - Manitoba Securities Commission"
"1000599","Canada - New Brunswick Securities Commission"
"990559","Brazil - Securities and Exchange Commission"
"990559","Other: BRAZIL - ANBIMA"
"995070","Hong Kong - Securities and Futures Commission"
