"FilingID","ReferenceID","SubreferenceID","Private Fund Name","Fund ID","State","Country","3(c)(1) Exclusion","3(c)(7) Exclusion"
"874759","68443","13985","ENCAP FLATROCK MIDSTREAM FUND III-D, L.P.","805-4013050144","Texas","United States","N","Y"
"874759","48236","8859","ENCAP ENERGY CAPITAL FUND IX-C, L.P.","805-2876682870","","Cayman Islands","N","Y"
"874759","48236","8857","ENCAP ENERGY CAPITAL FUND IX-D, L.P.","805-3638875543","Texas","United States","N","Y"
"874759","48235","8856","ENCAP FLATROCK MIDSTREAM FUND II-C, L.P.","805-6390473600","","Cayman Islands","N","Y"
"874759","48235","8855","ENCAP FLATROCK MIDSTREAM FUND II-D, L.P.","805-4316959356","Texas","United States","N","Y"
"874759","6675","1910","ENCAP EQUITY CAPITAL FUND VIII CO-INVESTORS D, L.P.","805-8370235907","Texas","United States","N","Y"
"874759","6675","1908","ENCAP ENERGY CAPITAL FUND VIII CO-INVESTORS B, L.P.","805-5302596448","","Cayman Islands","N","Y"
"874759","5941","1786","ENCAP ENERGY CAPITAL FUND VII-B, L.P.","805-2934695867","Texas","United States","N","Y"
"874759","5933","1778","ENCAP ENERGY INFRASTRUCTURE TE FEEDER, L.P.","805-3385083808","Texas","United States","N","Y"
"874759","5933","1777","ENCAP INFRASTRUCTURE BLOCKER CORPORATION","805-1898728611","Texas","United States","N","Y"
"874759","5475","1750","ENCAP ENERGY CAPITAL FUND VIII-C, L.P.","805-3573971347","","Cayman Islands","N","Y"
"874759","5475","1747","ENCAP ENERGY CAPITAL FUND VIII-B, L.P.","805-9184446402","Texas","United States","N","Y"
"874759","5475","1751","ENCAP ENERGY CAPITAL FUND VIII-D, L.P.","805-2626144010","Texas","United States","N","Y"
"888908","44752","8074","MARCO POLO PURE PAN-CHINA FUND LLC","805-4916302888","Delaware","United States","N","Y"
"897536","39934","7307","ORCHID CHINA OFFSHORE LIMITED","805-9246464955","","Cayman Islands","N","Y"
"897536","39934","7308","ORCHID CHINA (CAYMAN), L.P.","805-8292581516","","Cayman Islands","N","Y"
"883637","6853","1945","GREYSON ASIA OFFSHORE FUND, LTD.","805-1550038542","","Cayman Islands","N","Y"
"883637","6853","1944","GREYSON ASIA FUND, L.P.","805-3097829962","Delaware","United States","N","Y"
"894164","29315","5508","UFG RUSSIA SELECT LP","805-5971882804","","Cayman Islands","N","Y"
"894164","29315","5507","UFG RUSSIA SELECT FUND LTD.","805-1250039559","","Cayman Islands","N","Y"
"889533","32931","6051","SAGE OPPORTUNITY FUND (QP) , L.P.","805-9785964448","Delaware","United States","Y","N"
"889533","32931","6049","SAGE OPPORTUNITY FUND (OFFSHORE) LTD.","805-1011622167","","Cayman Islands","N","Y"
"882839","3212","1355","YA OFFSHORE GLOBAL INVESTMENTS, LTD","805-6711284041","","Cayman Islands","N","Y"
"882839","3212","1354","YA GLOBAL INVESTMENTS (U.S.), LP","805-5337913118","Delaware","United States","N","Y"
