"FilingID","Fund Name","Fund ID","ReferenceID","State","Country","3(c)(1) Exclusion","3(c)(7) Exclusion","Master Fund","Feeder Fund","Master Fund Name","Master Fund ID","Fund of Funds","Fund Invested Self or Related","Fund Invested in Securities","Fund Type","Fund Type Other","Gross Asset Value","Minimum Investment","Owners","%Owned You or Related","%Owned Funds","%Owned Non-US","Subadviser","Other IAs Advise","Clients Solicited","Percentage Invested","Exempt from Registration","Annual Audit","GAAP","FS Distributed","Unqualified Opinion","Prime Brokers","Custodians","Administrator","% Assets Valued","Marketing"
1058379,"VERTEX MANAGED VALUE PORTFOLIO",805-7253183238,34799,"","Canada","Y","N","N","N","",,"N","","N","Other Private Fund","CONCENTRATED DEEP VALUE",267539793,1000000,1574,9,0,98,"N","N","Y",1,"N","Y","N","Y","Yes","N","Y","Y",100,"N"
1058379,"VERTEX STRATEGIC INCOME FUND",805-6051866640,39271,"","Canada","Y","N","N","N","",,"N","","N","Other Private Fund","HIGH-YIELD INCOME FUND",27881720,1000000,246,0,0,100,"N","N","Y",1,"N","Y","N","Y","Yes","N","Y","Y",100,"N"
1058379,"VERTEX ENHANCED INCOME FUND",805-9605419691,39353,"","Canada","Y","N","N","N","",,"N","","N","Other Private Fund","HIGH-YIELD INCOME FUND",268436195,1000000,9438,0,0,100,"N","N","Y",9,"N","Y","N","Y","Yes","N","Y","Y",100,"N"
1058379,"VERTEX GROWTH FUND",805-3580657101,40198,"","Canada","Y","N","N","N","",,"N","","N","Other Private Fund","GROWTH FUND",114954518,1000000,4718,7,0,100,"N","N","Y",17,"N","Y","N","Y","Yes","N","Y","Y",100,"N"
1058379,"VERTEX VALUE FUND",805-9388286290,40207,"","Canada","Y","N","N","N","",,"N","","N","Other Private Fund","VALUE FUND",163564442,1000000,5339,19,0,100,"N","N","Y",23,"N","Y","N","Y","Yes","N","Y","Y",100,"N"
1058379,"VERTEX ARBITRAGE FUND",805-4988323291,58989,"","Canada","Y","N","N","N","",,"N","","N","Hedge Fund","",59093694,1000000,501,0,0,98,"N","N","Y",31,"N","Y","N","Y","Yes","Y","Y","Y",100,"N"
1056860,"OSCAR S. SCHAFER & PARTNERS II LP",805-3550942380,5722,"Delaware","United States","N","Y","N","N","",,"N","","N","Hedge Fund","",0,1000000,1,0,0,0,"N","N","N",0,"Y","Y","Y","Y","Report Not Yet Received","N","Y","Y",0,"N"
1056860,"O.S.S. OVERSEAS MASTER FUND LTD.",805-7664418925,5752,"","Cayman Islands","N","Y","Y","N","",,"N","","N","Hedge Fund","",0,1000000,1,0,0,0,"N","N","N",0,"Y","Y","Y","Y","Report Not Yet Received","N","Y","Y",0,"N"
1056860,"OSCAR S. SCHAFER & PARTNERS I LP",805-4869829851,5664,"Delaware","United States","Y","N","N","N","",,"N","","N","Hedge Fund","",0,1000000,1,0,0,0,"N","N","N",0,"Y","Y","Y","Y","Report Not Yet Received","N","Y","Y",0,"N"
1049583,"THE ARCUS ZENSEN FUND",805-1151734658,169047,"","Cayman Islands","Y","N","N","N","",,"N","","N","Hedge Fund","",197212001,100000,57,22,18,92,"Y","N","N",0,"Y","Y","N","Y","Yes","Y","Y","Y",100,"Y"
1049583,"ARCUS JAPAN LONG/SHORT FUND",805-1305248002,169045,"","Luxembourg","N","Y","N","N","",,"N","","N","Other Private Fund","UCITS",21025483,54572,35,1,22,100,"Y","N","N",0,"Y","Y","N","Y","Yes","N","Y","Y",100,"Y"
