"FilingID","Full Legal Name","CIK Number"
606398,"ROYAL BANK OF CANADA",1000275
600835,"JANUS CAPITAL GROUP INC.",106586
607230,"ROYAL BANK OF CANADA",1000275
606343,"CANADIAN IMPERIAL BANK OF COMMERCE",16847
607411,"U.S. BANCORP",36104
590544,"ROYAL BANK OF CANADA",1000275
607466,"DEUTSCHE BANK AG",948046
594247,"EATON VANCE CORP.",350797
606438,"THE BANK OF NOVA SCOTIA",1041839
604018,"THE BANK OF NOVA SCOTIA",1041839
597925,"ROYAL BANK OF CANADA",1000275
596159,"ROYAL BANK OF CANADA",1000275
594205,"EATON VANCE CORP.",350797
603785,"HEWLETT-PACKARD COMPANY",47217
597219,"ALLIANZ SE",1127508
606551,"WELLS FARGO & CO",72971
606551,"WELLS FARGO BANK, N.A.",740906
607756,"THE BANK OF NOVA SCOTIA",1041839
600945,"BANK OF MONTREAL",927971
602684,"ING GROEP, NV",1039765
608176,"ING GROEP, NV",1039765
608207,"THE ZIEGLER COMPANIES, INC",109312
606948,"STEWART ENTERPRISES, INC.",878522
608229,"ING GROEP, NV",1039765
592665,"EATON VANCE CORP.",350797
601474,"PNC FINANCIAL SERVICES GROUP, INC.",713676
601508,"INVESCO LTD.",914208
602819,"THE BANK OF NOVA SCOTIA",9631
606033,"TORONTO-DOMINION BANK",947263
596190,"REGIONS FINANCIAL CORPORATION",1281761
607130,"EATON VANCE CORP.",350797
599622,"THE ALLSTATE CORPORATION",899051
608139,"PERESS INVESTMENT ADVISORS, LTD.",1321219
608777,"THE BANK OF NOVA SCOTIA",1041839
608776,"BANCORPSOUTH, INC.",701853
608570,"BOSTON PRIVATE FINANCIAL HOLDINGS, INC.",821127
607806,"MITSUBISHI UFJ FINANCIAL GROUP, INC.",67088
607806,"THE BANK OF TOKYO-MITSUBISHI UFJ, LTD.",852743
608448,"THE PNC FINANCIAL SERVICES GROUP, INC.",713676
608038,"NEW YORK COMMUNITY BANCORP",910073
608647,"ROYAL BANK OF CANADA",1000275
609043,"ING GROEP NV",1039765
594044,"BANK OF MONTREAL",9622
607540,"PRESERVATION TRUST ADVISORS, LLC",1502000
609413,"THE BANK OF NOVA SCOTIA",1041839
602308,"WELLS FARGO AND COMPANY",105598
609495,"BANCORPSOUTH, INC.",701853
609520,"WELLS FARGO AND COMPANY",105598
609511,"AEGON NV",769218
606520,"WELLS FARGO AND COMPANY",105598
