"FilingID","Full Legal Name","CIK Number"
"1024915","WELLS FARGO AND COMPANY","105598"
"1024144","THE GOLDMAN SACHS GROUP, INC.","886982"
"1024970","CAPITAL ONE FINANCIAL CORPORATION","927628"
"1024969","THE GOLDMAN SACHS GROUP, INC.","886982"
"1025070","PRINCIPAL FINANCIAL GROUP, INC.","1126328"
"1025078","NELNET INC","1258602"
"1025312","BANK OF AMERICA CORPORATION","70858"
"1011133","STIFEL FINANCIAL CORP.","720672"
"1025482","UBS GROUP AG","1610520"
"1025210","THE JONES FINANCIAL COMPANIES, L.L.L.P.","815917"
"1025503","UBS GROUP AG","1610520"
"1008348","WELLS FARGO & CO","72971"
"989699","FRANKLIN RESOURCES, INC.","38777"
"1008429","LPL FINANCIAL HOLDINGS INC.","1397911"
"1008431","LPL FINANCIAL HOLDINGS INC.","1397911"
"994330","CBOE HOLDINGS, INC.","1374310"
"1008447","CBOE HOLDINGS, INC.","1374310"
"1008445","NOMURA HOLDINGS, INC.","1163653"
"1008464","CBOE HOLDINGS, INC.","1374310"
"1008479","CREDIT SUISSE AG (SWISS BANK)","1053092"
"1008500","NOMURA HOLDINGS, INC. (FORMERLY THE NOMURA SECURITIES CO., LTD.)","1163653"
"1006816","MARSH & MCLENNAN COMPANIES, INC.","62709"
"1008558","WELLS FARGO AND COMPANY","105598"
"1008555","WELLS FARGO AND COMPANY","105598"
"1008405","THE CARLYLE GROUP L.P.","1527166"
"1008576","THE CARLYLE GROUP L.P.","1527166"
"1008609","THE CARLYLE GROUP L.P.","1527166"
"1008619","THE CARLYLE GROUP L.P.","1527166"
"1008758","CBOE HOLDINGS, INC.","1374310"
"1008740","THE CARLYLE GROUP L.P.","1527166"
"1008766","MANULIFE FINANCIAL CORPORATION","1086888"
"1008792","MANULIFE FINANCIAL CORPORATION","1086888"
"1008393","FRANKLIN RESOURCES, INC.","38777"
"1008731","GREAT-WEST LIFE & ANNUITY INSURANCE COMPANY","744455"
"1008882","WELLESLEY BANCORP, INC.","1526952"
"996632","FRANKLIN RESOURCES, INC.","38777"
"1009112","MORGAN STANLEY","895421"
"1009267","FORTRESS INVESTMENT GROUP LLC","1380393"
"1009391","PRUDENTIAL PLC","1116578"
"1007558","ROYAL BANK OF CANADA","1000275"
"1009410","PRUDENTIAL FINANCIAL, INC.","1137774"
"1009661","BANCO SANTANDER, S.A.","891478"
"1009704","WELLS FARGO AND COMPANY","105598"
"1009831","NORTHWEST BANCSHARES, INC.","147126"
"1009942","THE CARLYLE GROUP L.P.","1527166"
"985721","THE ALLSTATE CORPORATION","899051"
"1009933","MANULIFE FINANCIAL CORPORATION","1086888"
"1009988","HILLTOP HOLDINGS INC.","1265131"
"1009321","FORTRESS INVESTMENT GROUP LLC","1380393"
"1010113","RAYMOND JAMES FINANCIAL, INC.","705"
"1010224","NOMURA HOLDINGS, INC. (FORMERLY THE NOMURA SECURITIES CO., LTD.)","1163653"
"1010086","MANULIFE FINANCIAL CORPORATION","1086888"
"1010464","KKR & CO. L.P.","1404912"
"1006776","MARSH & MCLENNAN COMPANIES, INC.","62709"
"1010546","MARSH & MCLENNAN COMPANIES, INC.","62709"
"1008914","THE CARLYLE GROUP L.P.","1527166"
"1010531","AMERICAN INTERNATIONAL GROUP, INC.","5272"
"1010588","PROTECTIVE LIFE CORPORATION","355429"
"1010623","LPL FINANCIAL HOLDINGS INC.","1397911"
"1010476","CITIGROUP INC.","831001"
"1010904","PRUDENTIAL FINANCIAL, INC","1137774"
"1011029","STIFEL FINANCIAL CORP","720672"
"1011071","MORGAN STANLEY","895421"
"1011125","PROTECTIVE LIFE CORPORATION","355429"
"976302","FIRST CITIZENS BANCSHARES, INC.","798941"
"1011196","BOK FINANCIAL CORPORATION","875357"
"1010518","FORTRESS INVESTMENT GROUP LLC","1380393"
"1011280","NEWCASTLE INVESTMENT CORP.","1175483"
"1011305","WASHINGTON TRUST BANCORP, INC.","737468"
"1011322","HUNTINGTON BANCSHARES INCORPORATED","906092"
"998737","LADENBURG THALMANN FINANCIAL SERVICES, INC","1029730"
"1011522","THE CARLYLE GROUP L.P.","1527166"
"1011831","RCS CAPITAL CORPORATION","1568832"
"1011855","LEGG MASON, INC.","704051"
"1011870","MANULIFE FINANCIAL CORPORATION","1086888"
"1007716","CNO FINANCIAL GROUP, INC.","1224608"
"1010499","FORTRESS INVESTMENT GROUP LLC","1380393"
"1011673","CARLYLE GROUP L.P.","1527166"
"1012018","CNO FINANCIAL GROUP, INC.","1224608"
"1012046","BANK OF AMERICA CORPORATION","70858"
"1008457","CBRE GROUP, INC.","1138118"
"1012354","EATON VANCE CORP.","350797"
"1012388","BANK OF AMERICA CORPORATION","70858"
"1012411","RCS CAPITAL CORPORATION","1568832"
"1010213","FOLGER NOLAN FLEMING DOUGLAS INCORPORATED","37846"
"1010213","FOLGER NOLAN FLEMING DOUGLAS CAPITAL MANAGEMENT, INC.","885415"
"1010824","THE GOLDMAN SACHS GROUP, INC.","886982"
"1010829","THE GOLDMAN SACHS GROUP, INC.","886982"
"1012473","BANK OF AMERICA, NATIONAL ASSOCIATION","1102113"
"1008511","THE JONES FINANCIAL COMPANIES, L.L.L.P.","815917"
"1011693","SUNTRUST BANKS, INC.","750556"
"1012023","MANNING & NAPIER, INC.","1524223"
"1011532","THE BLACKSTONE GROUP L.P.","1393818"
"1011467","INVESCO, LTD.","914208"
"1012653","WELLS FARGO AND COMPANY","105598"
"1012341","BANK OF MONTREAL","927971"
"1012811","THE PNC FINANCIAL SERVICES GROUP, INC.","713676"
"1012943","XL GROUP PLC","875159"
