"FilingID","ReferenceID","Name of Prime Broker","SEC Number","CRD Number","City","State","Country","Custodian"
"992716","47663","PERSHING LLC","8-17574","7560","JERSEY CITY","New Jersey","United States","Y"
"977093","43077","CONVERGEX PRIME SERVICES LLC","8-67289","140185","ALPHARETTA","Georgia","United States","N"
"997023","9428","BNP PARIBAS PRIME BROKERAGE, INC.","8-40490","24962","NEW YORK","New York","United States","Y"
"997023","9428","MORGAN STANLEY & CO. LLC","8-15869","8209","NEW YORK","New York","United States","Y"
"997023","9428","GOLDMAN, SACHS & CO.","8-129","361","NEW YORK","New York","United States","Y"
"997581","51785","MID ATLANTIC CAPITAL CORPORATION","8-27663","10674","PITTSBURGH","Pennsylvania","United States","Y"
"981175","67778","BARCLAYS CAPITAL INC.","8-41342","19714","NEW YORK","New York","United States","Y"
"981175","163159","BARCLAYS CAPITAL INC.","8-41342","19714","NEW YORK","New York","United States","Y"
"981175","163160","MERRILL LYNCH PROFESSIONAL CLEARING CORP.","8-33359","16139","NEW YORK","New York","United States","Y"
"981175","67963","MORGAN STANLEY & CO. LLC","8-15869","8209","SAN FRANCISCO","California","United States","Y"
"981175","9813","MERRILL LYNCH PROFESSIONAL CLEARING CORP.","8-33359","16139","NEW YORK","New York","United States","Y"
"981175","9791","MORGAN STANLEY & CO. LLC","8-15869","8209","SAN FRANCISCO","California","United States","Y"
"981175","9791","DEUTSCHE BANK SECURITIES INC.","8-17822","2525","SAN FRANCISCO","California","United States","Y"
"981175","9791","MERRILL LYNCH PROFESSIONAL CLEARING CORP.","8-33359","16139","NEW YORK","New York","United States","Y"
"981175","9752","MORGAN STANLEY & CO. LLC","8-15869","8209","SAN FRANCISCO","California","United States","Y"
"981175","9752","DEUTSCHE BANK SECURITIES INC.","8-17822","2525","SAN FRANCISCO","California","United States","Y"
"981175","9752","MERRILL LYNCH PROFESSIONAL CLEARING CORP.","8-33359","16139","NEW YORK","New York","United States","Y"
"981175","9063","DEUTSCHE BANK SECURITIES INC.","8-17822","2525","SAN FRANCISCO","California","United States","Y"
"981175","9063","MERRILL LYNCH PROFESSIONAL CLEARING CORP.","8-33359","16139","NEW YORK","New York","United States","Y"
"981175","8610","MORGAN STANLEY & CO. LLC","8-15869","8209","SAN FRANCISCO","California","United States","Y"
"981175","163160","MORGAN STANLEY & CO. LLC","8-15869","8209","SAN FRANCISCO","California","United States","Y"
"981175","163159","MORGAN STANLEY & CO. LLC","8-15869","8209","SAN FRANCISCO","California","United States","Y"
"981175","8610","DEUTSCHE BANK SECURITIES INC.","8-17822","2525","SAN FRANCISCO","California","United States","Y"
"981175","8610","MERRILL LYNCH PROFESSIONAL CLEARING CORP.","8-33359","16139","NEW YORK","New York","United States","Y"
"981175","9835","MORGAN STANLEY & CO. LLC","8-15869","8209","SAN FRANCISCO","California","United States","Y"
"981175","9835","DEUTSCHE BANK SECURITIES INC.","8-17822","2525","SAN FRANCISCO","California","United States","Y"
"981175","9835","MERRILL LYNCH PROFESSIONAL CLEARING CORP.","8-33359","16139","NEW YORK","New York","United States","Y"
"981175","59148","BARCLAYS CAPITAL INC.","8-41342","19714","NEW YORK","New York","United States","Y"
"981175","59148","MORGAN STANLEY & CO. LLC","8-15869","8209","SAN FRANCISCO","California","United States","Y"
"981175","59148","DEUTSCHE BANK SECURITIES INC.","8-17822","2525","SAN FRANCISCO","California","United States","Y"
"981175","59148","MERRILL LYNCH PROFESSIONAL CLEARING CORP.","8-33359","16139","NEW YORK","New York","United States","Y"
"981175","67778","MORGAN STANLEY & CO. LLC","8-15869","8209","SAN FRANCISCO","California","United States","Y"
"981175","9063","BARCLAYS CAPITAL INC.","8-41342","19714","NEW YORK","New York","United States","Y"
"981175","9835","BARCLAYS CAPITAL INC.","8-41342","19714","NEW YORK","New York","United States","Y"
"981175","9791","BARCLAYS CAPITAL INC.","8-41342","19714","NEW YORK","New York","United States","Y"
"981175","8610","BARCLAYS CAPITAL INC.","8-41342","19714","NEW YORK","New York","United States","Y"
"981175","9752","BARCLAYS CAPITAL INC.","8-41342","19714","NEW YORK","New York","United States","Y"
"981175","9813","BARCLAYS CAPITAL INC.","8-41342","19714","NEW YORK","New York","United States","Y"
"981175","9063","MORGAN STANLEY & CO. LLC","8-15869","8209","SAN FRANCISCO","California","United States","Y"
"981175","9813","MORGAN STANLEY & CO. LLC","8-15869","8209","SAN FRANCISCO","California","United States","Y"
"981175","9813","DEUTSCHE BANK SECURITIES INC.","8-17822","2525","SAN FRANCISCO","California","United States","Y"
"981175","163160","BARCLAYS CAPITAL INC.","8-41342","19714","NEW YORK","New York","United States","Y"
"994624","166239","CONVERGEX GROUP","","","SAN FRANCISCO","California","United States","Y"
"990572","45734","J.P. MORGAN SECURITIES INC.","8-36950","18718","SAN FRANCISCO","California","United States","Y"
