"FilingID","ReferenceID","SubreferenceID","Foreign  
Regulatory Authority"
"885179","73163","32371","Cayman Islands - Cayman Islands Monetary Authority"
"885179","73172","32372","Singapore - Monetary Authority of Singapore"
"885179","73172","32372","Cayman Islands - Cayman Islands Monetary Authority"
"885178","26506","10129","Cayman Islands - Cayman Islands Monetary Authority"
"878223","44477","8032","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"887893","11609","10990","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"887893","46870","8490","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"887893","46861","8488","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"887893","11294","2636","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"887893","11513","2672","Other  
- CAYMAN ISLAND MONETARY AUTHORITY"
"887893","11636","2686","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"887893","11692","2704","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"887893","11804","2712","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"887893","55563","10965","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"886781","31795","5805","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"882746","27074","4968","Cayman Islands - Cayman Islands Monetary Authority"
"894699","61611","13651","Cayman Islands - Cayman Islands Monetary Authority"
"894699","61611","12481","Cayman Islands - Cayman Islands Monetary Authority"
"883943","66581","13633","Cayman Islands - Cayman Islands Monetary Authority"
"883943","9004","2301","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"883943","9029","2307","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"883943","9039","2309","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"883943","62088","12616","Cayman Islands - Cayman Islands Monetary Authority"
"882991","49163","9069","Cayman Islands - Cayman Islands Monetary Authority"
"884892","7180","12240","Cayman Islands - Cayman Islands Monetary Authority"
"885603","11059","12333","Cayman Islands - Cayman Islands Monetary Authority"
"885603","11076","12299","Cayman Islands - Cayman Islands Monetary Authority"
"883565","55858","11063","Other  
- CAYMAN ISLANDS - CAYMAN ISLANDS MONETARY AUTHORITY"
"892396","36551","6788","Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
"892396","36551","6790","Bermuda - Bermuda Monetary Authority"
"892396","36551","6792","Australia - Australian Securities and Investments Commission"
"892396","36670","6804","Bermuda - Bermuda Monetary Authority"
"892396","30778","5782","Bermuda - Bermuda Monetary Authority"
"892396","30818","5793","Bermuda - Bermuda Monetary Authority"
"892396","30500","5802","Bermuda - Bermuda Monetary Authority"
"892396","54551","10743","Bermuda - Bermuda Monetary Authority"
"892396","30806","5806","Bermuda - Bermuda Monetary Authority"
"875565","5174","5851","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"898931","49163","9069","Cayman Islands - Cayman Islands Monetary Authority"
"860157","21328","4121","Cayman Islands - Cayman Islands Stock Exchange Authority"
"873800","28305","6525","Other  
- CAYMAN ISLAND MONETARY AUTHORITY"
"873582","55042","10860","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"896334","14770","3116","Cayman Islands - Cayman Islands Stock Exchange Authority"
"896547","6079","1800","Cayman Islands - Cayman Islands Monetary Authority"
"896616","22825","4328","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"896744","3170","1342","Other  
- CAYMAN ISLANDS - CAYMAN ISLANDS MONETARY AUTHORITY"
"896514","47174","8592","Cayman Islands - Cayman Islands Stock Exchange Authority"
"863664","4377","4102","Cayman Islands - Cayman Islands Monetary Authority"
"863664","47777","8744","Cayman Islands - Cayman Islands Monetary Authority"
"869759","44721","8071","Cayman Islands - Cayman Islands Monetary Authority"
"869759","59750","12072","Cayman Islands - Cayman Islands Monetary Authority"
"869759","59874","14287","Cayman Islands - Cayman Islands Monetary Authority"
"867307","23268","4383","Cayman Islands - Cayman Islands Monetary Authority"
"869097","67384","13790","Cayman Islands - Cayman Islands Monetary Authority"
"872765","3530","1393","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"897117","14101","3002","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"872977","1725","1090","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"897765","64405","13097","Cayman Islands - Cayman Islands Monetary Authority"
"898744","22792","4323","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"892764","18480","3636","British Virgin Islands - British Virgin Islands Financial Services Commission"
"885885","19076","3749","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"889503","48378","8895","Cayman Islands - Cayman Islands Monetary Authority"
"884342","25122","10091","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"889351","40478","7437","Other  
- CAYMAN ISLANDS - CAYMAN ISLANDS MONETARY AUTHORITY"
"887604","20238","3947","Cayman Islands - Cayman Islands Monetary Authority"
"887604","20241","3950","Cayman Islands - Cayman Islands Monetary Authority"
"887604","30101","5464","Cayman Islands - Cayman Islands Monetary Authority"
"887604","20238","9199","Cayman Islands - Cayman Islands Monetary Authority"
"887604","61139","12372","Cayman Islands - Cayman Islands Monetary Authority"
"878838","24004","12309","Cayman Islands - Cayman Islands Monetary Authority"
"896215","3966","1421","Cayman Islands - Cayman Islands Monetary Authority"
"881546","16813","6592","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"878719","63606","12875","Cayman Islands - Cayman Islands Monetary Authority"
"888480","16929","3367","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"888480","16927","3366","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"886434","19391","9462","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"886434","19343","3794","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"886434","19362","3796","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
