"FilingID","Wrap Fee Program","Sponsor"
"890051","SEPARATE ACCOUNT NETWORK (SAN), FIDELITY INSTITUTIONAL WEALTH SERVICES","FIDELITY"
"871440","INVESTMENT ADVISORY PROGRAM","MERRILL LYNCH"
"871440","SELECT SEPARATE ACCOUNT PROGRAM","AMERIPRISE FINANCIAL SERVICES, INC."
"871440","CORE ASSET MANAGER","BRINKER CAPITAL MANAGEMENT"
"871440","DYNAMIC ALLOCATION PORTFOLIOS","CITIGROUP GLOBAL MARKETS, INC."
"871440","FIDUCIARY SERVICES PROGRAM","CITIGROUP GLOBAL MARKETS, INC."
"871440","ADVISER SELECT","DEUTSCHE BANK ALEX. BROWN"
"871440","EDWARD JONES ADVISORY SOLUTIONS UNIFIED MANAGED ACCOUNT PROGRAM","EDWARD D. JONES & CO., L.P."
"871440","ENVESTNET PREMIER ASSET MANAGEMENT PROGRAM","ENVESTNET ASSET MANAGEMENT, INC."
"871440","THIRD PARTY MODELS PROGRAM","ENVESTNET ASSET MANAGEMENT, INC."
"871440","ADVISORY SERVICES PROGRAM","FDX ADVISORS"
"871440","ASSET MANAGEMENT PROGRAM","FUNDQUEST INC."
"871440","ADVISERS PROGRAM","JANNEY MONTGOMERY SCOTT"
"871440","MANAGED ACCOUNT ADVISOR","LOCKWOOD ADVISORS, INC."
"871440","MANAGED ACCOUNT COMMAND","LOCKWOOD ADVISORS, INC."
"871440","MANAGED ACCOUNT LINK","LOCKWOOD ADVISORS, INC."
"871440","ADVISORPORT PROGRAM","LOCKWOOD ADVISORS, INC."
"871440","MANAGER SELECT","LPL FINANCIAL LLC"
"871440","MANAGER ACCESS SELECT","LPL FINANCIAL LLC"
"871440","UNIFIED MANAGED ACCOUNT PROGRAM","MERRILL LYNCH"
"871440","CONSULTS","MERRILL LYNCH"
"871440","SELECT UMA","MORGAN STANLEY SMITH BARNEY"
"871440","FIDUCIARY SERVICES PROGRAM","MORGAN STANLEY SMITH BARNEY"
"871440","INVESTMENT ADVISORY SERVICE (IAS) PROGRAM","OPPENHEIMER & CO. INC."
"871440","PRUDENTIAL THIRD PARTY PROGRAM","PRUDENTIAL INVESTMENTS, LLC"
"871440","RAYMOND JAMES CONSULTING SERVICES","RAYMOND JAMES & ASSOCIATES, INC."
"871440","CONSULTING SOLUTIONS PROGRAM","RBC WEALTH MANAGEMENT"
"871440","BAIRD PREFERRED MANAGER PROGRAM","ROBERT W. BAIRD & CO. INC."
"871440","MANAGED ACCOUNT SELECT","CHARLES SCHWAB & CO., INC."
"871440","MANAGED ACCOUNT ACCESS","CHARLES SCHWAB & CO., INC."
"871440","MANAGED ACCOUNT PROGRAM","SEI INVESTMENTS"
"871440","STEPHENS MANAGED ASSETS PROGRAM","STEPHENS INC."
"871440","OPPORTUNITY PROGRAM","STIFEL, NICOLAUS & COMPANY, INC."
"871440","ACCESS","UBS FINANCIAL SERVICES INC."
"871440","STRATEGIC WEALTH PORTFOLIO","UBS FINANCIAL SERVICES INC."
"871440","MODEL PORTFOLIOS PROGRAM","US BANK NA"
"871440","STRATEGIC PORTFOLIO","WELLS FARGO BANK, NA"
"871440","MASTERS INVESTMENT CONSULTING SERVICE","WELLS FARGO ADVISORS, LLC"
"871440","DIVERSIFIED MANAGED ALLOCATIONS","WELLS FARGO ADVISORS, LLC"
"871440","SELECTS PORTFOLIO SOLUTIONS","MERRILL LYNCH"
"871440","UNIFIED MANAGED ACCOUNT PROGRAM","ATRIA INVESTMENTS LLC."
"871440","SUMMIT PROGRAM","SCOTIA CAPITAL INC."
"871440","UNIFIED OVERLAY MANAGEMENT PROGRAM","FDX ADVISORS"
"871440","UNIFIED MANAGED ACCOUNT INVESTMENT SOLUTIONS","SAVOS INVESTMENTS, A DIVISION OF ASSETMARK, INC."
"871440","INVESTMENT SOLUTIONS","ASSETMARK, INC."
"891873","ROUNDANGLE WRAP PROGRAM","ROUNDANGLE ADVISORS LLC"
